Lon,Lat,PancartaProm,Desempenio
-0.15402,-80.113,1,2
-1.0309,-80.346,1,2
-0.61004,-80.426,2,3
-0.84324,-80.174,2,3
-0.84324,-80.174,2,3
-0.84812,-80.161,1,2
-0.25263,-79.458,1,2
-0.14592,-80.174,1,2
-1.3526,-80.582,1,2
-1.3529,-80.582,1,2
-1.3532,-80.582,1,2
-1.3533,-80.582,1,2
-1.3534,-80.582,1,2
-1.3535,-80.578,2,3
-1.3552,-80.582,1,2
-1.3555,-80.582,1,2
-1.3555,-80.583,1,2
-1.3558,-80.583,1,2
-1.3559,-80.583,1,2
-1.3563,-80.582,1,2
-0.95392,-80.712,2,3
-0.96003,-80.757,1,2
-0.98174,-80.719,3,3
-1.062,-80.473,2,3
-1.0253,-79.457,1,2
-0.25566,-79.163,1,2
0.975,-79.655,1,2
0.97389,-79.659,1,2
0.61003,-80.02,3,3
0.26955,-79.956,2,3
0.26946,-79.956,2,3
-0.098486,-79.817,3,3
-0.18049,-79.025,1,2
-0.29642,-80.159,1,2
-0.34373,-80.239,1,2
-0.41525,-80.211,1,2
-0.43772,-80.272,1,2
-0.50293,-80.42,2,3
-0.57312,-79.371,1,2
-0.64331,-80.424,3,3
-0.66622,-79.449,1,2
-0.84457,-80.164,1,2
-0.84903,-80.159,1,2
-0.88994,-79.491,1,2
-0.90744,-80.267,3,3
-0.9145,-80.285,1,2
-0.91922,-80.287,1,2
-0.92444,-80.294,1,2
-0.92942,-80.205,1,2
-0.93846,-80.285,1,2
-0.95197,-80.728,2,3
-0.9641,-80.708,2,3
-0.98857,-80.703,3,3
-1.045,-80.475,1,2
-1.0536,-80.456,1,2
-1.0564,-80.447,1,2
-1.1384,-80.265,1,2
-1.1384,-80.265,1,2
-1.172,-80.364,1,2
-1.172,-80.364,1,2
-1.1814,-80.375,1,2
-1.1814,-80.375,1,2
-1.1819,-80.387,1,2
-1.1819,-80.387,1,2
-1.1955,-79.41,1,2
-1.2016,-80.392,1,2
-1.2016,-80.446,1,2
-1.2067,-80.375,2,3
-1.2067,-80.375,2,3
-1.209,-80.371,2,3
-1.209,-80.371,2,3
-1.2111,-80.256,1,2
-1.2155,-80.412,1,2
-1.2155,-80.412,1,2
-1.2558,-79.373,1,2
-1.2825,-79.429,1,2
-1.3304,-79.659,1,2
-1.3443,-80.575,2,3
-1.3443,-80.575,2,3
-1.3445,-80.575,2,3
-1.3445,-80.575,2,3
-1.3446,-80.575,2,3
-1.3449,-80.575,2,3
-1.3525,-80.574,1,2
-1.3526,-80.574,1,2
-1.3527,-80.575,1,2
-1.3527,-80.575,1,2
-1.3529,-80.574,1,2
